original,english,french,espanol,italiano,german,dutch,
account.component,account.component,account.component,account.component,account.component,account.component,account.component,
Account,Account,Compte,Cuenta,Account,Konto,Account,
User name,User name,Nom d'utilisateur,Nombre de usuario,Nome utente,Nutzername,Gebruikersnaam,
User id,User id,Identifiant d'utilisateur,Identificación de usuario,ID utente,Benutzeridentifikation,Gebruikersnaam,
Email,Email,E-mail,Correo electrónico,E-mail,Email,E-mail,
Phone,Phone,Téléphoner,Teléfono,Telefono,Telefon,Telefoon,
Password,Password,Mot de passe,Clave,Parola d'ordine,Passwort,Wachtwoord,
Mode,Mode,Mode,Modo,Modalità,Modus,modus,
Manage subscription,Manage subscription,Gérer l'abonnement,Administrar suscripción,Gestisci abbonamento,Abonnement verwalten,Abonnement beheren,
Subscription name,Subscription name,Nom de l'abonnement,nombre de suscripción,Nome dell'abbonamento,Abonnementname,Naam abonnement,
locations,locations,Emplacements,ubicaciones,posizioni,Standorte,locaties,
mode.component,mode.component,mode.component,mode.component,mode.component,mode.component,mode.component,
Mode,Mode,Mode,Modo,Modalità,Modus,modus,
Change the app mode,Change the app mode,Changer le mode de l'application,Cambiar el modo de la aplicación,Cambia la modalità dell'app,Ändern Sie den App-Modus,Wijzig de app-modus,
Customer mode (standard),Customer mode (standard),Mode client (standard),Modo cliente (estándar),Modalità cliente (standard),Kundenmodus (Standard),Klantmodus (standaard),
Engineer mode,Engineer mode,Mode ingénieur,Modo ingeniero,Modalità ingegnere,Ingenieur-Modus,Ingenieur modus,
Customer Service Representative,Customer Service Representative,Représentant du service à la clientèle,Representante de Servicio al Cliente,Rappresentante del Servizio Clienti,Kundendienstvertretung,Medewerker Klantenservice,
Please enter your code to confirm you have engineer mode access,Please enter your code to confirm you have engineer mode access,Veuillez entrer votre code pour confirmer que vous avez accès au mode ingénieur,Ingrese su código para confirmar que tiene acceso al modo ingeniero,Inserisci il tuo codice per confermare di avere accesso alla modalità ingegnere,"Bitte geben Sie Ihren Code ein, um zu bestätigen, dass Sie Zugriff auf den Technikermodus haben",Voer uw code in om te bevestigen dat u toegang heeft tot de installateursmodus,
Confirm,Confirm,Confirmer,Confirmar,Confermare,Bestätigen,Bevestigen,
Please enter your code to confirm you have customer service representative mode access,Please enter your code to confirm you have customer service representative mode access,Veuillez entrer votre code pour confirmer que vous avez accès au mode représentant du service à la clientèle,Ingrese su código para confirmar que tiene acceso al modo de representante de servicio al cliente,Inserisci il tuo codice per confermare di avere accesso alla modalità rappresentante del servizio clienti,"Bitte geben Sie Ihren Code ein, um zu bestätigen, dass Sie Zugang zum Kundendienstmitarbeitermodus haben",Voer uw code in om te bevestigen dat u toegang heeft tot de klantenservicemodus,
password.component,password.component,password.component,password.component,password.component,password.component,password.component,
Change password,Change password,Changer le mot de passe,Cambia la contraseña,Cambia la password,Passwort ändern,Verander wachtwoord,
Old password,Old password,Ancien mot de passe,Contraseña anterior,Vecchia password,Altes Passwort,Oud Wachtwoord,
New password,New password,Nouveau mot de passe,Nueva contraseña,Nuova password,Neues Passwort,Nieuw paswoord,
